date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh
01/01/2023;1:00;0.424;Estimada;;;
01/01/2023;2:00;0.372;Estimada;;;
01/01/2023;3:00;0.32;Estimada;;;
01/01/2023;4:00;0.281;Estimada;;;
01/01/2023;5:00;0.259;Estimada;;;
01/01/2023;6:00;0.251;Estimada;;;
01/01/2023;7:00;0.253;Estimada;;;
01/01/2023;8:00;0.261;Estimada;;;
01/01/2023;9:00;0.276;Estimada;;;
01/01/2023;10:00;0.328;Estimada;;;
01/01/2023;11:00;0.392;Estimada;;;
01/01/2023;12:00;0.431;Estimada;;;
01/01/2023;13:00;0.444;Estimada;;;
01/01/2023;14:00;0.468;Estimada;;;
01/01/2023;15:00;0.469;Estimada;;;
01/01/2023;16:00;0.421;Estimada;;;
01/01/2023;17:00;0.398;Estimada;;;
01/01/2023;18:00;0.408;Estimada;;;
01/01/2023;19:00;0.48;Estimada;;;
01/01/2023;20:00;0.527;Estimada;;;
01/01/2023;21:00;0.562;Estimada;;;
01/01/2023;22:00;0.578;Estimada;;;
01/01/2023;23:00;0.541;Estimada;;;
01/01/2023;24:00:00;0.466;Estimada;;;
02/01/2023;1:00;0.407;Estimada;;;
02/01/2023;2:00;0.329;Estimada;;;
02/01/2023;3:00;0.282;Estimada;;;
02/01/2023;4:00;0.256;Estimada;;;
02/01/2023;5:00;0.244;Estimada;;;
02/01/2023;6:00;0.243;Estimada;;;
02/01/2023;7:00;0.253;Estimada;;;
02/01/2023;8:00;0.287;Estimada;;;
02/01/2023;9:00;0.981;Estimada;;;
02/01/2023;10:00;1.058;Estimada;;;
02/01/2023;11:00;1.405;Estimada;;;
02/01/2023;12:00;1.457;Estimada;;;
02/01/2023;13:00;1.463;Estimada;;;
02/01/2023;14:00;1.551;Estimada;;;
02/01/2023;15:00;1.348;Estimada;;;
02/01/2023;16:00;1.258;Estimada;;;
02/01/2023;17:00;1.196;Estimada;;;
02/01/2023;18:00;1.233;Estimada;;;
02/01/2023;19:00;1.732;Estimada;;;
02/01/2023;20:00;1.972;Estimada;;;
02/01/2023;21:00;2.167;Estimada;;;
02/01/2023;22:00;2.265;Estimada;;;
02/01/2023;23:00;1.826;Estimada;;;
02/01/2023;24:00:00;1.558;Estimada;;;
03/01/2023;1:00;0.367;Estimada;;;
03/01/2023;2:00;0.295;Estimada;;;
03/01/2023;3:00;0.256;Estimada;;;
03/01/2023;4:00;0.237;Estimada;;;
03/01/2023;5:00;0.231;Estimada;;;
03/01/2023;6:00;0.241;Estimada;;;
03/01/2023;7:00;0.279;Estimada;;;
03/01/2023;8:00;0.354;Estimada;;;
03/01/2023;9:00;1.312;Estimada;;;
03/01/2023;10:00;1.412;Estimada;;;
03/01/2023;11:00;1.808;Estimada;;;
03/01/2023;12:00;1.822;Estimada;;;
03/01/2023;13:00;1.814;Estimada;;;
03/01/2023;14:00;1.908;Estimada;;;
03/01/2023;15:00;1.629;Estimada;;;
03/01/2023;16:00;1.552;Estimada;;;
03/01/2023;17:00;1.501;Estimada;;;
03/01/2023;18:00;1.551;Estimada;;;
03/01/2023;19:00;2.108;Estimada;;;
03/01/2023;20:00;2.331;Estimada;;;
03/01/2023;21:00;2.498;Estimada;;;
03/01/2023;22:00;2.546;Estimada;;;
03/01/2023;23:00;1.989;Estimada;;;
03/01/2023;24:00:00;1.672;Estimada;;;
04/01/2023;1:00;0.408;Estimada;;;
04/01/2023;2:00;0.328;Estimada;;;
04/01/2023;3:00;0.285;Estimada;;;
04/01/2023;4:00;0.263;Estimada;;;
04/01/2023;5:00;0.255;Estimada;;;
04/01/2023;6:00;0.262;Estimada;;;
04/01/2023;7:00;0.295;Estimada;;;
04/01/2023;8:00;0.368;Estimada;;;
04/01/2023;9:00;1.348;Estimada;;;
04/01/2023;10:00;1.437;Estimada;;;
04/01/2023;11:00;1.821;Estimada;;;
04/01/2023;12:00;1.82;Estimada;;;
04/01/2023;13:00;1.8;Estimada;;;
04/01/2023;14:00;1.882;Estimada;;;
04/01/2023;15:00;1.594;Estimada;;;
04/01/2023;16:00;1.521;Estimada;;;
04/01/2023;17:00;1.473;Estimada;;;
04/01/2023;18:00;1.525;Estimada;;;
04/01/2023;19:00;2.081;Estimada;;;
04/01/2023;20:00;2.292;Estimada;;;
04/01/2023;21:00;2.444;Estimada;;;
04/01/2023;22:00;2.501;Estimada;;;
04/01/2023;23:00;1.982;Estimada;;;
04/01/2023;24:00:00;1.697;Estimada;;;
05/01/2023;1:00;0.411;Estimada;;;
05/01/2023;2:00;0.331;Estimada;;;
05/01/2023;3:00;0.287;Estimada;;;
05/01/2023;4:00;0.266;Estimada;;;
05/01/2023;5:00;0.258;Estimada;;;
05/01/2023;6:00;0.264;Estimada;;;
05/01/2023;7:00;0.297;Estimada;;;
05/01/2023;8:00;0.369;Estimada;;;
05/01/2023;9:00;1.341;Estimada;;;
05/01/2023;10:00;1.433;Estimada;;;
05/01/2023;11:00;1.818;Estimada;;;
05/01/2023;12:00;1.818;Estimada;;;
05/01/2023;13:00;1.799;Estimada;;;
05/01/2023;14:00;1.883;Estimada;;;
05/01/2023;15:00;1.599;Estimada;;;
05/01/2023;16:00;1.515;Estimada;;;
05/01/2023;17:00;1.461;Estimada;;;
05/01/2023;18:00;1.494;Estimada;;;
05/01/2023;19:00;1.994;Estimada;;;
