ID,¿Adultos en la vivienda? [Ocupados/trabajando],¿Adultos en la vivienda? [Realizando tareas del hogar],¿Adultos en la vivienda? [Parados/as],¿Adultos en la vivienda? [Jubilados/as - pensionistas de algún tipo],¿Adultos en la vivienda? [Estudiantes],Menores en la vivienda [Menores en la vivienda],Percepción de distribución de consumos [Entre semana],Percepción de distribución de consumos [Fin de semana],¿Crees que podrías cambiar tus hábitos de consumo para ajustarlos a horas de más producción solar?,Metros cuadrados aproximados de la vivienda,¿Tienes calefacción eléctrica?,¿Tienes sistema de agua caliente eléctrica?,"Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Cocina eléctrica (no de gas/but,etc)]",Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Horno eléctrico],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Microondas],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Lavavajillas],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Lavadora],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Secadora],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Frigorífico con congelador],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Aire acondicionado],Tienes la función de programar alguno de tus electrodomésticos,Observaciones (apuntar cosas que nombren en la conversación pero que no están en ninguna de las preguntas y pueda resultar útil ya sea sobre el consumo o sobre los hábitos que tienen)
GPC,2,0,0,0,0,2,Más al medio día (10 a 16h),Más por la mañana (6 a 10h),Ya los había adecuado a las horas solares,90,No,No,Si,Si,Si,Si,Si,No,Si,No,Sí y trato de usar la funcionalidad,Los circuitos de la casa los tengo monotorizados. He cambiado el lavavajillas para poder programarlo a las horas de consumo que me interesan.
JALG,3,0,1,0,0,0,"Más por la mañana (6 a 10h), Más por la tarde (16 a 20h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,70,No,termo eléctrico,Si,Si,Si,No,Si,No,Si,No,No,.
ABLD,2,0,0,2,0,0,"Más al medio día (10 a 16h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),No,86,"No, Estufas eléctricas",No,Si,Si,Si,Si,Si,No,Si,No,No lo sé,Sale muy pronto a trabajar y aunque pudiera no programaría la lavadora pq la pone siempre el fin de semana.
MJS,2,0,0,0,0,2,"Más al medio día (10 a 16h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,145,"Bomba de calor, Acumuladores eléctricos",termo eléctrico,Si,Si,Si,Si,Si,No,Si,Si,Sí y trato de usar la funcionalidad,Su casa es de 2 plantas. Es de nueva construcción. Este es su primer invierno. Es una CASA PASIVA. Tienen recuperador de calor todo el día funcionando. En los baños tienen toalleros radiador eléctrico programado. Endesa no les facturo mes a mes por un problema y han pagado factura de 3 meses de 240 euros.
FJAG,1,0,0,1,0,1,"Más por la mañana (6 a 10h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,56,No,No,Si,Si,Si,Si,Si,No,Si,Si,Sí y trato de usar la funcionalidad,Tienen coche eléctrico. Tienen en el garaje una toma que eles factura con la de su casa.
RFM,0,0,0,1,0,0,Más por la tarde (16 a 20h),Más por la tarde (16 a 20h),Solo en algunos momentos puntuales o en fin de semana,60,No,No,Si,Si,Si,No,Si,No,Si,No,"Sí, pero no lo utilizo","Persona mayor, friolera pone la calefacción siempre a 21 es individual de gas.  "
MANA,2,0,0,1,0,0,"Más al medio día (10 a 16h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,70,No,No,Si,Si,Si,No,Si,No,Si,Si,No,Aparato de aire acondicionado en la sala de estar para el verano. Ventilador de techo en el dormitorio. Tiene fuente de agua de Aquaservice.
AJVG,2,2,0,0,0,0,"Más por la tarde (16 a 20h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,58,Radiadores eléctricos,termo eléctrico,Si,Si,Si,No,Si,No,Si,No,Sí y trato de usar la funcionalidad,Programa los radiadores eléctricos y la lavadora. Trabajan  los 2 hasta la 6pm.
PAA,2,2,0,0,0,2,"Más por la tarde (16 a 20h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,120,"No, Bomba de calor",No,Si,Si,Si,Si,Si,No,Si,Si,Sí y trato de usar la funcionalidad,Han puesto este verano Bomba de calor. Están probando que les sale mejor aunque tienen una tarifa de luz alta pq tuvieron que subir la potencia al poner la bomba de calor. La calefacción de su casa es central con contadores individuales.
LFZA,1,0,0,0,0,0,"Más por la tarde (16 a 20h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),No,68,Radiadores eléctricos,termo eléctrico,Si,Si,Si,Si,Si,No,Si,No,No,Me contesta Amable cuñado del propietario que ahora lo tiene alquilado porque esta en una residencia.
