hour,0,1,2
0,0.12939615384615383,0.10723076923076924,0.21230793269230755
1,0.11145384615384617,0.10769711538461538,0.1570122596153845
2,0.0982076923076923,0.0924423076923077,0.15346899038461526
3,0.09171923076923076,0.0838076923076923,0.13653629807692297
4,0.0833923076923077,0.0795576923076923,0.1313389423076923
5,0.08456153846153847,0.12977403846153845,0.13732932692307692
6,0.08955769230769231,0.2822692307692308,0.20447596153846154
7,0.10441538461538462,0.378875,0.26307932692307695
8,0.1195153846153846,0.2292644230769231,0.28644014423076913
9,0.12318846153846152,0.14827884615384615,0.2755872596153842
10,0.1447269230769231,0.15596153846153846,0.29532283653846114
11,0.14818461538461541,0.14892788461538461,0.33777740384615335
12,0.16328076923076923,0.15841346153846153,0.4204721153846149
13,0.1933153846153846,0.23041826923076922,0.4651641826923073
14,0.20008846153846155,0.25844711538461534,0.41297644230769204
15,0.17501538461538463,0.22708173076923077,0.37843990384615384
16,0.17056538461538462,0.20662980769230768,0.35635841346153835
17,0.16132307692307693,0.2213173076923077,0.36249543269230755
18,0.1563923076923077,0.2826730769230769,0.3771805288461537
19,0.16557692307692307,0.4306826923076923,0.4191826923076923
20,0.2000346153846154,0.45678846153846153,0.4538533653846154
21,0.20001923076923078,0.32221634615384614,0.4263509615384615
22,0.17371923076923076,0.2493701923076923,0.33784134615384614
23,0.15322692307692307,0.15136057692307692,0.2637379807692308
total_mean_consumption,3.440876923076923,5.139485576923077,7.26473004807692
