hour,0,1,2
0,0.10465101010101009,0.4592611111111111,0.16280666666666668
1,0.09300949050949049,0.3227087912087912,0.13823516483516482
2,0.08761561264822135,0.27794565217391304,0.12750978260869564
3,0.08798151848151849,0.17553846153846153,0.11890659340659342
4,0.08481318681318682,0.14014835164835165,0.11190219780219782
5,0.09601348651348651,0.17214285714285713,0.12731868131868135
6,0.14435214785214787,0.2023296703296703,0.2135637362637363
7,0.18004795204795207,0.22525824175824175,0.26853969230769215
8,0.17787962037962038,0.20324725274725275,0.23520712087912007
9,0.16866233766233765,0.19924175824175824,0.26485257142857005
10,0.17222277722277723,0.22640109890109889,0.2742561318681301
11,0.1824775224775225,0.2301208791208791,0.3406135384615363
12,0.21863636363636363,0.279978021978022,0.4484849670329648
13,0.2371198801198801,0.3398736263736264,0.47298580219780045
14,0.22330269730269728,0.3160054945054945,0.4179658901098885
15,0.18765484515484515,0.21668131868131868,0.34965134065933945
16,0.18134115884115884,0.19363186813186814,0.3258292307692298
17,0.1714350649350649,0.19853846153846155,0.3424738901098897
18,0.18275324675324675,0.20744505494505497,0.372710989010989
19,0.2307042957042957,0.20588461538461542,0.4299340659340659
20,0.248002997002997,0.21506043956043955,0.49560549450549446
21,0.2126898101898102,0.36775274725274726,0.46840879120879125
22,0.17585564435564435,0.36592857142857144,0.3132318681318681
23,0.13932067932067932,0.35048351648351644,0.22189890109890112
total_mean_consumption,3.9885433460259545,6.091607862186122,7.042893108616008
