archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2024-02,Febrero,2024-01-29/2024-02-04,2024-02-05/2024-02-11,2024-02-12/2024-02-18,2024-02-19/2024-02-25,2024-02-26/2024-03-03
ABLD,0.21566954022988505,0.27332717895284525,0.029,2.184,0.063,0.088,0.22125,150.106,0.21566954022988505,5.176068965517241,0.08386206896551723,0.07127586206896552,0.06710344827586207,0.0793448275862069,0.09017241379310345,0.09144827586206897,0.07279310344827587,0.19362068965517243,0.16786206896551725,0.10555172413793103,0.10675862068965518,0.1683793103448276,0.2833793103448276,0.2726896551724138,0.5178620689655172,0.4597586206896552,0.23748275862068968,0.2253793103448276,0.16327586206896552,0.34393103448275864,0.6019655172413794,0.40993103448275864,0.21682758620689657,0.14541379310344826,2.432,2.067,1.946,2.301,2.615,2.652,2.111,5.615,4.868,3.061,3.096,4.883,8.218,7.908,15.018,13.333,6.8870000000000005,6.5360000000000005,4.735,9.974,17.457,11.888,6.288,4.217,2.432,2.067,1.946,2.301,2.615,2.652,2.111,5.615,4.868,3.061,3.096,4.883,8.218,7.908,15.018,13.333,6.8870000000000005,6.5360000000000005,4.735,9.974,17.457,11.888,6.288,4.217,0.13495689655172416,0.30147126436781607,0.24251724137931036,0.34353448275862075,0.08053448275862068,15.655000000000001,52.456,28.132,39.849999999999994,14.013000000000002,0.05411764901046583,0.09705540265227768,0.09384987059392152,0.15756025119109737,0.03705153232630156,0.23230208333333333,0.2500104166666667,0.19508333333333336,0.218075,0.21411458333333333,0.20019791666666667,0.19930208333333332,22.301,24.001,18.728,26.169,20.555,19.219,19.133,0.25602352358170727,0.37895233681105794,0.21000624886275052,0.2822841753840779,0.2566958827214421,0.2450921467870129,0.2551287031157192,0.221734126984127,0.19974999999999998,111.754,38.352,0.2818723692573065,0.24950543751747242,0.21566954022988505,150.106,0.2733271789528452,150.106,150.106,19.302,42.455,27.476,40.123,20.75
AJVG,0.39440229885057476,0.5123229946746539,0.029,2.631,0.046,0.1625,0.58775,274.504,0.3944022988505747,9.465655172413792,0.22944827586206895,0.10579310344827586,0.11248275862068965,0.1113103448275862,0.0996896551724138,0.12362068965517241,0.3427241379310345,1.1171379310344827,0.6260344827586207,0.26813793103448275,0.26672413793103444,0.26210344827586207,0.25648275862068964,0.2882413793103448,0.19913793103448274,0.17296551724137932,0.17386206896551723,0.22886206896551722,0.4293448275862069,0.6846206896551724,0.928103448275862,1.1044137931034483,0.8675862068965517,0.46682758620689657,6.654,3.068,3.262,3.2279999999999998,2.891,3.585,9.939,32.397,18.155,7.776,7.734999999999999,7.601,7.438,8.359,5.7749999999999995,5.016,5.042,6.637,12.451,19.854,26.915,32.028,25.16,13.538,6.654,3.068,3.262,3.2279999999999998,2.891,3.585,9.939,32.397,18.155,7.776,7.734999999999999,7.601,7.438,8.359,5.7749999999999995,5.016,5.042,6.637,12.451,19.854,26.915,32.028,25.16,13.538,0.5885086206896551,0.24094252873563218,0.3791724137931034,0.8417327586206896,0.13039080459770114,68.267,41.92399999999999,43.983999999999995,97.64099999999999,22.688000000000002,0.14806156141349427,0.10016640359363993,0.16634510243099673,0.12338281654126805,0.06243373477034079,0.3883541666666667,0.37221875,0.31396874999999996,0.38699999999999996,0.43191666666666667,0.38221875,0.4869895833333333,37.282000000000004,35.733,30.141,46.44,41.464,36.693,46.751,0.5687783950883669,0.518081668082004,0.44423214540728345,0.5171774072677917,0.5412165179466029,0.4111367605253306,0.5626561536664927,0.3790873015873016,0.4346041666666667,191.06,83.444,0.51869837506176,0.49426212345689485,0.39440229885057476,274.504,0.512322994674654,274.504,274.504,52.156,64.723,67.791,54.759,35.075
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.37265735632183367,0.34198228114461937,0.078,3.279,0.164,0.2705,0.42,259.3695199999962,0.37265735632183367,8.943776551724007,0.163,0.1407241379310345,0.13717241379310346,0.1323103448275862,0.14872413793103448,0.1273448275862069,0.27606896551724136,0.3055172413793103,0.28641379310344833,0.4003186206896428,0.40580551724136077,0.5148055172413608,0.7512882758620505,0.6409434482758436,0.4281503448275677,0.46145655172412553,0.40914620689653936,0.5839310344827586,0.45548275862068965,0.5931379310344828,0.4937241379310345,0.4148275862068965,0.4432758620689655,0.23020689655172413,4.727,4.081,3.978,3.8369999999999997,4.313,3.693,8.006,8.86,8.306000000000001,11.609239999999641,11.768359999999463,14.929359999999463,21.787359999999463,18.587359999999464,12.416359999999463,13.38223999999964,11.865239999999641,16.934,13.209,17.201,14.318,12.03,12.855,6.676,4.727,4.081,3.978,3.8369999999999997,4.313,3.693,8.006,8.86,8.306000000000001,11.609239999999641,11.768359999999463,14.929359999999463,21.787359999999463,18.587359999999464,12.416359999999463,13.38223999999964,11.865239999999641,16.934,13.209,17.201,14.318,12.03,12.855,6.676,0.31707965517241066,0.5337416091953849,0.5104244827586176,0.39550862068965514,0.14154597701149424,36.78123999999964,92.87103999999695,59.209239999999646,45.879000000000005,24.628999999999998,0.14391491599782655,0.07063988340279752,0.2674746403371991,0.0997530602398224,0.005633696878413324,0.33434375,0.40115208333332397,0.41604124999998504,0.3141833333333333,0.32846875000000003,0.3933229166666667,0.43570791666665176,32.097,38.5105999999991,39.939959999998564,37.702,31.533,37.759,41.82795999999857,0.2346957640110636,0.41466407572981584,0.43909485933353454,0.23251756898771156,0.20570453788843537,0.31616779338598267,0.45914767587897776,0.3567114285714239,0.4145154166666592,179.78255999999766,79.58695999999857,0.319065473930989,0.39373499678597984,0.37265735632183367,259.3695199999962,0.3419822811446192,259.3695199999962,259.3695199999962,33.136,68.31259999999911,65.67995999999857,61.499959999998566,30.741
FMB,0.18543534482758622,0.18074630692871743,0.01,1.596,0.056,0.158,0.23625,129.06300000000002,0.18543534482758625,4.450448275862069,0.0936896551724138,0.09317241379310345,0.08303448275862069,0.07024137931034483,0.08517241379310346,0.08827586206896552,0.13220689655172413,0.1270689655172414,0.13458620689655174,0.23582758620689656,0.22448275862068964,0.21886206896551724,0.3095172413793103,0.3343103448275862,0.22131034482758621,0.2156551724137931,0.23058620689655174,0.20448275862068965,0.23010344827586207,0.3262758620689655,0.26182758620689656,0.17551724137931035,0.20948275862068966,0.1447586206896552,2.717,2.702,2.408,2.037,2.47,2.56,3.834,3.685,3.903,6.839,6.51,6.347,8.975999999999999,9.695,6.418,6.254,6.687,5.93,6.673,9.462,7.593,5.09,6.075,4.198,2.717,2.702,2.408,2.037,2.47,2.56,3.834,3.685,3.903,6.839,6.51,6.347,8.975999999999999,9.695,6.418,6.254,6.687,5.93,6.673,9.462,7.593,5.09,6.075,4.198,0.15742241379310346,0.2540229885057471,0.24786206896551724,0.19789655172413795,0.08559770114942529,18.261000000000003,44.199999999999996,28.752,22.956,14.894000000000002,0.06835576189813818,0.07701708583086825,0.08703874918668025,0.07022710792298521,0.004723662196740589,0.19454166666666664,0.1824375,0.16952083333333334,0.20129999999999998,0.171125,0.18694791666666666,0.18820833333333334,18.676,17.514,16.274,24.156,16.428,17.947,18.068,0.16505456301456745,0.1696700086700807,0.11548797879266064,0.1798227698914366,0.11505881791043815,0.23255502437925324,0.246826421714006,0.18461904761904763,0.187578125,93.048,36.015,0.15302342533766944,0.23916918619189032,0.1854353448275862,129.063,0.18074630692871743,129.063,129.063,16.795,31.578,29.69,32.975,18.025
GPC,0.18490948275862068,0.23214996175851568,0.023,1.461,0.05775,0.0935,0.194,128.697,0.18490948275862065,4.437827586206897,0.06937931034482758,0.06727586206896552,0.06079310344827586,0.06803448275862069,0.05824137931034483,0.07186206896551725,0.09927586206896552,0.3868620689655172,0.32989655172413795,0.25124137931034485,0.12093103448275863,0.08610344827586207,0.1143793103448276,0.1623448275862069,0.311,0.3169310344827586,0.19427586206896552,0.20427586206896553,0.20506896551724138,0.32731034482758625,0.5491379310344828,0.21362068965517242,0.09003448275862068,0.07955172413793103,2.012,1.951,1.763,1.973,1.689,2.084,2.879,11.219,9.567,7.2860000000000005,3.507,2.497,3.317,4.708,9.019,9.190999999999999,5.634,5.924,5.947,9.492,15.925,6.195,2.6109999999999998,2.307,2.012,1.951,1.763,1.973,1.689,2.084,2.879,11.219,9.567,7.2860000000000005,3.507,2.497,3.317,4.708,9.019,9.190999999999999,5.634,5.924,5.947,9.492,15.925,6.195,2.6109999999999998,2.307,0.2668189655172414,0.1852816091954023,0.23273275862068968,0.23308620689655174,0.06593103448275862,30.951,32.239000000000004,26.997,27.038,11.472,0.13023692934376083,0.059415623452638185,0.09024009430245891,0.12515244145630358,0.004423862839582409,0.18080208333333334,0.16696875,0.19666666666666666,0.19793333333333332,0.14082291666666666,0.17241666666666666,0.23550000000000001,17.357,16.029,18.88,23.752,13.519,16.552,22.608,0.22538064269337155,0.22202301697299195,0.2412556044254032,0.23966085047270388,0.146581035234272,0.2248577874155207,0.29424501068971326,0.1776527777777778,0.20395833333333332,89.537,39.16,0.21907278053921517,0.2630810762959987,0.18490948275862068,128.697,0.23214996175851546,128.697,128.697,18.787,29.155,31.536,30.366,18.853
JACL,0.10835057471264369,0.06931679398044016,0.036,0.772,0.066,0.099,0.12725,75.412,0.10835057471264367,2.600413793103448,0.11920689655172413,0.07006896551724139,0.07775862068965517,0.08317241379310344,0.08479310344827587,0.07234482758620689,0.052620689655172415,0.09031034482758621,0.1046551724137931,0.10641379310344827,0.128,0.09341379310344827,0.13555172413793104,0.17982758620689654,0.21575862068965515,0.10568965517241379,0.10055172413793104,0.10817241379310345,0.11393103448275861,0.10103448275862069,0.08682758620689654,0.1183103448275862,0.1306896551724138,0.1213103448275862,3.457,2.032,2.255,2.412,2.459,2.098,1.526,2.619,3.035,3.086,3.712,2.709,3.931,5.215,6.257,3.065,2.916,3.137,3.304,2.93,2.518,3.431,3.79,3.518,3.457,2.032,2.255,2.412,2.459,2.098,1.526,2.619,3.035,3.086,3.712,2.709,3.931,5.215,6.257,3.065,2.916,3.137,3.304,2.93,2.518,3.431,3.79,3.518,0.0885,0.14304022988505746,0.10592241379310345,0.11428448275862069,0.0845574712643678,10.266,24.889,12.286999999999999,13.257000000000001,14.712999999999997,0.02616437550223193,0.04561851120841851,0.003652031124931873,0.013145773952576123,0.0034924191371625128,0.108,0.108875,0.10958333333333332,0.10428333333333333,0.10520833333333333,0.11002083333333333,0.1135,10.368,10.452,10.52,12.514,10.1,10.562,10.896,0.052951616445681124,0.08532307024357172,0.05478256861960201,0.0509704451080212,0.057526180157461984,0.0884686062863297,0.08725425641857189,0.1070515873015873,0.11176041666666665,53.954,21.458,0.06095470825709912,0.08765057288788346,0.10835057471264369,75.412,0.0693167939804401,75.412,75.412,10.185,17.363,18.151,19.366,10.347
JALG,0.3055545977011494,0.2707573761267312,0.049,1.62,0.096,0.218,0.40525,212.666,0.3055545977011494,7.333310344827587,0.19348275862068964,0.10962068965517241,0.10024137931034482,0.09631034482758621,0.0936551724137931,0.11006896551724138,0.11268965517241379,0.20500000000000002,0.2953793103448276,0.394448275862069,0.4167586206896552,0.21920689655172415,0.31248275862068964,0.40406896551724136,0.42324137931034483,0.5319310344827586,0.46827586206896554,0.4760689655172414,0.4092758620689655,0.353,0.45041379310344826,0.5876206896551724,0.35406896551724143,0.216,5.611,3.179,2.907,2.793,2.716,3.192,3.268,5.945,8.566,11.439,12.086,6.357,9.062,11.718,12.274000000000001,15.426,13.58,13.806000000000001,11.869,10.237,13.062,17.041,10.268,6.264,5.611,3.179,2.907,2.793,2.716,3.192,3.268,5.945,8.566,11.439,12.086,6.357,9.062,11.718,12.274000000000001,15.426,13.58,13.806000000000001,11.869,10.237,13.062,17.041,10.268,6.264,0.2518793103448276,0.3846149425287357,0.4266551724137931,0.40202586206896557,0.11722988505747127,29.218000000000004,66.923,49.492000000000004,46.635000000000005,20.398,0.1135572612288767,0.09497859018954806,0.01318637348986362,0.07014012255851482,0.03133099179631055,0.297875,0.35130208333333335,0.29839583333333336,0.31144166666666667,0.30678125,0.2733229166666667,0.2982916666666667,28.596,33.725,28.646,37.373,29.451,26.239,28.636,0.27093550407508626,0.30598565909950975,0.2818021881490881,0.3105762547491447,0.25556262815187736,0.2239903425921783,0.22402475975314898,0.31307738095238097,0.2858072916666667,157.791,54.875,0.286483929242116,0.22377073006185844,0.3055545977011494,212.666,0.27075737612673123,212.666,212.666,26.689999999999998,53.988,48.694,53.828,29.466
JLG,0.1277787356321839,0.1200612788698617,0.037,1.213,0.051,0.104,0.16,88.934,0.12777873563218392,3.0666896551724143,0.11286206896551725,0.06899999999999999,0.058137931034482754,0.05113793103448276,0.05244827586206896,0.049,0.051103448275862065,0.04817241379310345,0.07062068965517242,0.11141379310344827,0.19486206896551722,0.1469655172413793,0.19351724137931034,0.22531034482758622,0.19931034482758622,0.15772413793103449,0.177,0.13696551724137931,0.15137931034482757,0.1349655172413793,0.16982758620689656,0.2230344827586207,0.14693103448275863,0.135,3.273,2.001,1.686,1.483,1.521,1.421,1.482,1.397,2.048,3.231,5.651,4.262,5.612,6.534000000000001,5.78,4.574,5.133,3.972,4.39,3.914,4.925,6.468,4.261,3.915,3.273,2.001,1.686,1.483,1.521,1.421,1.482,1.397,2.048,3.231,5.651,4.262,5.612,6.534000000000001,5.78,4.574,5.133,3.972,4.39,3.914,4.925,6.468,4.261,3.915,0.07032758620689655,0.1862816091954023,0.15007758620689654,0.16869827586206898,0.06543103448275862,8.158,32.413000000000004,17.409000000000002,19.569,11.384999999999998,0.04354396054393036,0.06361944035706411,0.044403921123440306,0.04234004521469126,0.011422923799819273,0.1413125,0.1374375,0.10942708333333334,0.12146666666666667,0.1188125,0.15864583333333335,0.10892708333333334,13.566,13.193999999999999,10.505,14.576,11.406,15.23,10.457,0.1384405106896099,0.12200973321829697,0.0803638757274052,0.09531944816709523,0.09288275716701877,0.19009593030703797,0.08201504929830566,0.12549007936507936,0.13378645833333333,63.247,25.687,0.10754833349045533,0.1481232019537265,0.1277787356321839,88.934,0.12006127886986175,88.934,88.934,14.076,18.809,20.695,22.361,12.993
JMM,0.22861206896551728,0.18869067702230993,0.066,1.609,0.123,0.175,0.24325,159.11400000000003,0.22861206896551722,5.486689655172415,0.1646206896551724,0.13413793103448277,0.12662068965517242,0.12213793103448276,0.10917241379310344,0.11713793103448276,0.12634482758620688,0.13972413793103447,0.22427586206896552,0.17610344827586208,0.1337241379310345,0.1930689655172414,0.2691034482758621,0.46793103448275863,0.5377931034482759,0.23289655172413792,0.19693103448275864,0.21662068965517242,0.28717241379310343,0.3476206896551724,0.4110344827586207,0.2778965517241379,0.2426896551724138,0.23193103448275862,4.774,3.89,3.672,3.542,3.166,3.3970000000000002,3.6639999999999997,4.052,6.5040000000000004,5.107,3.878,5.599,7.804,13.57,15.596,6.754,5.711,6.282,8.328,10.081,11.92,8.059,7.038,6.726,4.774,3.89,3.672,3.542,3.166,3.3970000000000002,3.6639999999999997,4.052,6.5040000000000004,5.107,3.878,5.599,7.804,13.57,15.596,6.754,5.711,6.282,8.328,10.081,11.92,8.059,7.038,6.726,0.16661206896551725,0.3057528735632184,0.2620862068965517,0.29088793103448274,0.12897126436781609,19.326999999999998,53.201,30.401999999999997,33.743,22.441000000000003,0.03166807365108411,0.1331237288467421,0.05974441077422592,0.08401415538417971,0.012987280272056445,0.2110729166666667,0.22530208333333335,0.20851041666666667,0.24081666666666665,0.23040625,0.2460625,0.23506249999999998,20.263,21.629,20.017,28.898,22.119,23.622,22.566,0.18071986141927926,0.1735824463470444,0.13432944535860658,0.2146741123419494,0.16607338759051518,0.22568132224560883,0.20524700459382308,0.22405952380952382,0.2405625,112.926,46.188,0.17757298062454244,0.21521151473213143,0.22861206896551725,159.114,0.18869067702231004,159.114,159.114,21.965,35.273,41.046,38.946,21.884
